filename.variablename	condition 	variable type	subtype 
BXD_Wak_EEG_bands.out.sigma.	bsl	EEG	power
BXD_Wak_EEG_bands.out.beta	bsl	EEG	power
BXD_Wak_EEG_bands.out.beta.	bsl	EEG	power
BXD_Wak_EEG_bands.out.gamma1	bsl	EEG	power
BXD_Wak_EEG_bands.out.gamma1.	bsl	EEG	power
BXD_Wak_EEG_bands.out.gamma2	bsl	EEG	power
BXD_Wak_EEG_bands.out.gamma2.	bsl	EEG	power
BXD_REM_EEG_bands.out.delta	bsl	EEG	power
BXD_REM_EEG_bands.out.delta.	bsl	EEG	power
BXD_REM_EEG_bands.out.theta	bsl	EEG	power
BXD_REM_EEG_bands.out.theta.	bsl	EEG	power
BXD_REM_EEG_bands.out.sigma	bsl	EEG	power
BXD_REM_EEG_bands.out.sigma.	bsl	EEG	power
BXD_REM_EEG_bands.out.beta	bsl	EEG	power
BXD_REM_EEG_bands.out.beta.	bsl	EEG	power
BXD_REM_EEG_bands.out.gamma1	bsl	EEG	power
BXD_REM_EEG_bands.out.gamma1.	bsl	EEG	power
BXD_REM_EEG_bands.out.gamma2	bsl	EEG	power
BXD_REM_EEG_bands.out.gamma2.	bsl	EEG	power
BXD_WNR_spec_bands.out.delW	bsl	EEG	power
BXD_WNR_spec_bands.out.theW	bsl	EEG	power
BXD_WNR_spec_bands.out.sigW	bsl	EEG	power
BXD_WNR_spec_bands.out.betW	bsl	EEG	power
BXD_WNR_spec_bands.out.gam1W	bsl	EEG	power
BXD_WNR_spec_bands.out.gam2W	bsl	EEG	power
BXD_WNR_spec_bands.out.delN	bsl	EEG	power
BXD_WNR_spec_bands.out.theN	bsl	EEG	power
BXD_WNR_spec_bands.out.sigN	bsl	EEG	power
BXD_WNR_spec_bands.out.betN	bsl	EEG	power
BXD_WNR_spec_bands.out.gam1N	bsl	EEG	power
BXD_WNR_spec_bands.out.gam2N	bsl	EEG	power
BXD_WNR_spec_bands.out.delR	bsl	EEG	power
BXD_WNR_spec_bands.out.theR	bsl	EEG	power
BXD_WNR_spec_bands.out.sigR	bsl	EEG	power
BXD_WNR_spec_bands.out.betR	bsl	EEG	power
BXD_WNR_spec_bands.out.gam1R	bsl	EEG	power
BXD_WNR_spec_bands.out.gam2R	bsl	EEG	power
BXD_NREMSspecSD.out.del_b	bsl	EEG	power
BXD_NREMSspecSD.out.del1_b	bsl	EEG	power
BXD_NREMSspecSD.out.del2_b	bsl	EEG	power
BXD_NREMSspecSD.out.the_b	bsl	EEG	power
BXD_NREMSspecSD.out.sig_b	bsl	EEG	power
BXD_NREMSspecSD.out.bet_b	bsl	EEG	power
BXD_NREMSspecSD.out.gam1_b	bsl	EEG	power
BXD_NREMSspecSD.out.gam2_b	bsl	EEG	power
BXD_NREMSspecSD.out.del_r	rec	EEG	power
BXD_NREMSspecSD.out.del1_r	rec	EEG	power
BXD_NREMSspecSD.out.del2_r	rec	EEG	power
BXD_NREMSspecSD.out.the_r	rec	EEG	power
BXD_NREMSspecSD.out.sig_r	rec	EEG	power
BXD_NREMSspecSD.out.bet_r	rec	EEG	power
BXD_NREMSspecSD.out.gam1_r	rec	EEG	power
BXD_NREMSspecSD.out.gam2_r	rec	EEG	power
BXD_NREMSspecSD.out.del_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.del1_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.del2_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.the_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.sig_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.bet_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.gam1_rat	rec vs bsl	EEG	power
BXD_NREMSspecSD.out.gam2_rat	rec vs bsl	EEG	power
BXDdeldyn2.out.del_1bsl	bsl	EEG	power
BXDdeldyn2.out.del_13bsl	bsl	EEG	power
BXDdeldyn2.out.del13v12b	bsl	EEG	power
BXDdeldyn2.out.del13vs18b	bsl	EEG	power
BXDdeldyn2.out.del_1rec	rec	EEG	power
BXD_NRsigma1.out.maxS	bsl	EEG	power
BXD_NRsigma1.out.srf	bsl	EEG	power
BXD_NRsigma1.out.maxTr	bsl	EEG	power
BXD_NRsigma1.out.p1r	bsl	EEG	power
BXD_NRsigma1.out.p2r	bsl	EEG	power
BXD_NRsigma1.out.dif	bsl	EEG	power
BXD_NRsigma1.out.rem0	bsl	EEG	power
BXDspindles.out.Nspin	bsl	state	amount
BXDvsREC2hN.out.n4d	rec vs bsl	state	amount
BXDvsREC2hN.out.n5d	rec vs bsl	state	amount
BXDvsREC2hN.out.n6d	rec vs bsl	state	amount
BXDvsREC2hN.out.n7d	rec vs bsl	state	amount
BXDvsREC2hN.out.n8d	rec vs bsl	state	amount
BXDvsREC2hN.out.n9d	rec vs bsl	state	amount
BXDvsREC2hN.out.n10d	rec vs bsl	state	amount
BXDvsREC2hN.out.n11d	rec vs bsl	state	amount
BXDvsREC2hN.out.n12d	rec vs bsl	state	amount
BXDvsREC2hN.out.n13d	rec vs bsl	state	amount
BXDvsREC2hN.out.n14d	rec vs bsl	state	amount
BXDvsREC2hN.out.n15d	rec vs bsl	state	amount
BXDvsREC2hW.out.w4d	rec vs bsl	state	amount
BXDvsREC2hW.out.w5d	rec vs bsl	state	amount
BXDvsREC2hW.out.w6d	rec vs bsl	state	amount
BXDvsREC2hW.out.w7d	rec vs bsl	state	amount
BXDvsREC2hW.out.w8d	rec vs bsl	state	amount
BXDvsREC2hW.out.w9d	rec vs bsl	state	amount
BXDvsREC2hW.out.w10d	rec vs bsl	state	amount
BXDvsREC2hW.out.w11d	rec vs bsl	state	amount
BXDvsREC2hW.out.w12d	rec vs bsl	state	amount
BXDvsREC2hW.out.w13d	rec vs bsl	state	amount
BXDvsREC2hW.out.w14d	rec vs bsl	state	amount
BXDvsREC2hW.out.w15d	rec vs bsl	state	amount
BXDvsREC2hR.out.r4d	rec vs bsl	state	amount
BXDvsREC2hR.out.r5d	rec vs bsl	state	amount
BXDvsREC2hR.out.r6d	rec vs bsl	state	amount
BXDvsREC2hR.out.r7d	rec vs bsl	state	amount
BXDvsREC2hR.out.r8d	rec vs bsl	state	amount
BXDvsREC2hR.out.r9d	rec vs bsl	state	amount
BXDvsREC2hR.out.r10d	rec vs bsl	state	amount
BXDvsREC2hR.out.r11d	rec vs bsl	state	amount
BXDvsREC2hR.out.r12d	rec vs bsl	state	amount
BXDvsREC2hR.out.r13d	rec vs bsl	state	amount
BXDvsREC2hR.out.r14d	rec vs bsl	state	amount
BXDvsREC2hR.out.r15d	rec vs bsl	state	amount
BXDvsREC3hN.out.n3d	rec vs bsl	state	amount
BXDvsREC3hN.out.n4d	rec vs bsl	state	amount	
BXDvsREC3hN.out.n5d	rec vs bsl	state	amount	
BXDvsREC3hN.out.n6d	rec vs bsl	state	amount	
BXDvsREC3hN.out.n7d	rec vs bsl	state	amount
BXDvsREC3hN.out.n8d	rec vs bsl	state	amount
BXDvsREC3hN.out.n9d	rec vs bsl	state	amount
BXDvsREC3hN.out.n10d	rec vs bsl	state	amount
