"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"3-BXD48a-106","48a","3-BXD48a-106","09.01.2020",3,"29.10.2019","mardi, 4 février 2020","30.01.2020","21.01.2020","10.02.2020",14,"SD","106","48a_SD"
"3-BXD100-107","BXD100","3-BXD100-107","09.01.2020",3,"19.11.2019","lundi, 17 février 2020","30.01.2020","11.02.2020","02.03.2020",12.85714286,"CTRL","107","BXD100_CTRL"
"3-BXD100-108","BXD100","3-BXD100-108","09.01.2020",3,"19.11.2019","mardi, 18 février 2020","30.01.2020","11.02.2020","02.03.2020",13,"SD","108","BXD100_SD"
"3-C57Bl6-109","C57Bl6","3-C57Bl6-109","09.01.2020",3,"12.11.2019","lundi, 10 février 2020","30.01.2020","04.02.2020","24.02.2020",12.85714286,"CTRL","109","C57Bl6_CTRL"
"3-C57Bl6-110","C57Bl6","3-C57Bl6-110","09.01.2020",3,"12.11.2019","mardi, 11 février 2020","30.01.2020","04.02.2020","24.02.2020",13,"SD","110","C57Bl6_SD"
"3-DBA-111","DBA","3-DBA-111","09.01.2020",3,"12.11.2019","lundi, 10 février 2020","30.01.2020","04.02.2020","24.02.2020",12.85714286,"CTRL","111","DBA_CTRL"
"4-DBA-112","DBA","4-DBA-112","31.01.2020",4,"03.12.2019","lundi, 2 mars 2020","21.02.2020","25.02.2020","16.03.2020",12.85714286,"CTRL","112","DBA_CTRL"
"4-DBA-113","DBA","4-DBA-113","31.01.2020",4,"03.12.2019","mardi, 3 mars 2020","21.02.2020","25.02.2020","16.03.2020",13,"SD","113","DBA_SD"
"4-BXD48-114","BXD48","4-BXD48-114","31.01.2020",4,"19.11.2019","lundi, 24 février 2020","21.02.2020","11.02.2020","02.03.2020",13.85714286,"CTRL","114","BXD48_CTRL"
"4-BXD48-115","BXD48","4-BXD48-115","31.01.2020",4,"19.11.2019","mardi, 25 février 2020","21.02.2020","11.02.2020","02.03.2020",14,"SD","115","BXD48_SD"
"4-BXD49-116","BXD49","4-BXD49-116","31.01.2020",4,"26.11.2019","lundi, 2 mars 2020","21.02.2020","18.02.2020","09.03.2020",13.85714286,"CTRL","116","BXD49_CTRL"
"4-BXD49-117","BXD49","4-BXD49-117","31.01.2020",4,"26.11.2019","mardi, 3 mars 2020","21.02.2020","18.02.2020","09.03.2020",14,"SD","117","BXD49_SD"
"4-BXD51-118","BXD51","4-BXD51-118","31.01.2020",4,"14.11.2019","lundi, 24 février 2020","21.02.2020","06.02.2020","26.02.2020",14.57142857,"CTRL","118","BXD51_CTRL"
"4-BXD51-119","BXD51","4-BXD51-119","31.01.2020",4,"14.11.2019","mardi, 25 février 2020","21.02.2020","06.02.2020","26.02.2020",14.71428571,"SD","119","BXD51_SD"
"4-BXD55-120","BXD55","4-BXD55-120","31.01.2020",4,"19.11.2019","lundi, 24 février 2020","21.02.2020","11.02.2020","02.03.2020",13.85714286,"CTRL","120","BXD55_CTRL"
"4-BXD55-121","BXD55","4-BXD55-121","31.01.2020",4,"19.11.2019","mardi, 25 février 2020","21.02.2020","11.02.2020","02.03.2020",14,"SD","121","BXD55_SD"
"4-BXD64-122","BXD64","4-BXD64-122","31.01.2020",4,"03.12.2019","lundi, 2 mars 2020","21.02.2020","25.02.2020","16.03.2020",12.85714286,"CTRL","122","BXD64_CTRL"
